AHH,LDH,37,1500
AHH,MET,37,1617
AHH,MET,37,1617
AHH,MET,37,1617
AHH,MET,37,1617
AHH,QRP,37,2174
AHH,QRP,37,2174
AI,AJE,38,42
AI,AJE,38,42
AI,AJE,38,42
AI,AJE,38,42
AI,AJE,38,42
AI,BHUJ,38,253
AI,GIMB,38,887
AI,GIMB,38,887
AI,GIMB,38,887
AI,GIMB,38,887
AI,GIMB,38,887
AI,GIMB,38,887
AIG,AJI,39,43
AIG,KH,39,1266
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BER,40,211
AII,BHL,40,241
AII,BHL,40,241
AII,BHL,40,241
AII,BHL,40,241
AII,BHL,40,241
AII,BJNR,40,275
AII,BJNR,40,275
AII,FA,40,816
AII,FL,40,831
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,JP,40,1158
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,KSG,40,1417
AII,MD,40,1599
AII,MJ,40,1646
AII,MJ,40,1646
AII,MJ,40,1646
AII,MJ,40,1646
AII,MJ,40,1646
AII,MJ,40,1646
AII,NSD,40,1957
AII,NSD,40,1957
AII,NSD,40,1957
AII,NSD,40,1957
AII,NSD,40,1957
AII,NSD,40,1957
AII,NSD,40,1957
AII,NSD,40,1957
AII,RANI,40,2181
AIT,CGN,41,538
AIT,MOTH,41,1733
AIT,MOTH,41,1733
AIT,MOTH,41,1733
AIT,MOTH,41,1733
AIT,ORAI,41,1999
AIT,ORAI,41,1999
AIT,ORAI,41,1999
AIT,ORAI,41,1999
AIT,ORAI,41,1999
AJE,AI,42,38
AJE,AI,42,38
AJE,AI,42,38
AJE,AI,42,38
AJE,AI,42,38
AJE,BHUJ,42,253
AJE,BHUJ,42,253
AJE,BHUJ,42,253
AJE,BHUJ,42,253
AJE,BHUJ,42,253
AJI,AIG,43,39
AJI,HRI,43,1043
AJI,HRI,43,1043
AJI,HRI,43,1043
AJI,HRI,43,1043
AJI,HRI,43,1043
AJI,HRI,43,1043
AJI,ROZA,43,2277
AJI,ROZA,43,2277
AJI,ROZA,43,2277
AJI,SPN,43,2527
AJI,SPN,43,2527
AJI,SPN,43,2527
AJI,TDP,43,2631
AJJ,AVD,44,133
AJJ,AVN,44,134
AJJ,CJ,44,561
AJJ,CJ,44,561
AJJ,JTJ,44,1184
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,KPD,44,1368
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MAS,44,1577
AJJ,MCN,44,1594
AJJ,PER,44,2047
AJJ,PER,44,2047
